"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"26/02/2025";"0000";"26,3";"26,5";"26,1";"81,0";"83,0";"75,0";"22,8";"23,0";"21,6";"994,8";"994,8";"993,4";"0,0";"35,0";"0,0";"";"0,0"
"26/02/2025";"0100";"25,3";"26,4";"25,3";"88,0";"88,0";"79,0";"23,2";"23,2";"22,3";"995,5";"995,6";"994,8";"0,0";"173,0";"0,0";"";"0,0"
"26/02/2025";"0200";"25,1";"25,6";"25,1";"83,0";"88,0";"82,0";"22,0";"23,2";"22,0";"995,7";"995,7";"995,5";"0,0";"116,0";"1,3";"";"0,0"
"26/02/2025";"0300";"24,5";"25,1";"24,5";"86,0";"86,0";"83,0";"22,0";"22,0";"21,7";"995,5";"996,0";"995,5";"0,0";"126,0";"0,2";"";"0,0"
"26/02/2025";"0400";"24,7";"24,7";"24,3";"84,0";"89,0";"84,0";"21,9";"22,3";"21,9";"994,9";"995,5";"994,9";"0,0";"98,0";"0,0";"";"0,0"
"26/02/2025";"0500";"24,5";"24,8";"24,3";"84,0";"85,0";"83,0";"21,6";"21,9";"21,5";"994,5";"994,9";"994,5";"0,0";"119,0";"1,1";"";"0,0"
"26/02/2025";"0600";"24,2";"24,6";"24,2";"87,0";"87,0";"83,0";"21,9";"21,9";"21,6";"994,2";"994,5";"994,2";"0,0";"156,0";"0,6";"";"0,0"
"26/02/2025";"0700";"24,3";"24,4";"24,0";"87,0";"88,0";"87,0";"22,0";"22,1";"21,8";"994,6";"994,6";"994,2";"0,0";"180,0";"0,0";"";"0,0"
"26/02/2025";"0800";"23,9";"24,3";"23,9";"89,0";"89,0";"87,0";"21,9";"22,0";"21,8";"994,9";"995,0";"994,6";"0,0";"146,0";"0,0";"";"0,0"
"26/02/2025";"0900";"23,9";"23,9";"23,8";"90,0";"90,0";"89,0";"22,2";"22,2";"21,9";"995,6";"995,6";"994,9";"0,0";"115,0";"0,0";"";"0,0"
"26/02/2025";"1000";"24,0";"24,0";"23,9";"91,0";"91,0";"90,0";"22,4";"22,4";"22,2";"996,1";"996,1";"995,6";"0,0";"287,0";"0,0";"13,70";"0,0"
"26/02/2025";"1100";"25,4";"25,4";"24,0";"85,0";"91,0";"85,0";"22,7";"23,0";"22,4";"997,0";"997,0";"996,1";"0,0";"253,0";"0,0";"170,80";"0,0"
"26/02/2025";"1200";"26,6";"26,6";"25,4";"79,0";"87,0";"78,0";"22,6";"23,2";"22,2";"997,8";"997,8";"997,0";"0,0";"332,0";"0,0";"338,30";"0,0"
"26/02/2025";"1300";"26,8";"26,8";"26,2";"76,0";"82,0";"76,0";"22,2";"23,1";"22,1";"998,1";"998,1";"997,8";"0,0";"275,0";"0,0";"505,10";"0,0"
"26/02/2025";"1400";"28,2";"28,4";"26,8";"71,0";"78,0";"67,0";"22,4";"23,2";"21,4";"998,1";"998,2";"998,1";"0,0";"38,0";"0,0";"1009,50";"0,0"
"26/02/2025";"1500";"28,8";"29,3";"28,2";"67,0";"72,0";"67,0";"22,0";"23,4";"21,6";"997,7";"998,1";"997,7";"0,0";"11,0";"3,1";"952,80";"0,0"
"26/02/2025";"1600";"26,2";"29,6";"26,1";"77,0";"79,0";"61,0";"21,8";"23,5";"21,1";"997,1";"997,7";"997,1";"1,2";"310,0";"7,4";"766,80";"0,0"
"26/02/2025";"1700";"28,1";"28,1";"25,2";"77,0";"89,0";"74,0";"23,6";"24,2";"22,1";"996,0";"997,1";"996,0";"0,0";"8,0";"7,4";"896,80";"1,2"
"26/02/2025";"1800";"24,8";"29,3";"24,8";"83,0";"83,0";"69,0";"21,7";"24,5";"21,5";"995,4";"996,0";"995,4";"4,1";"334,0";"8,8";"1128,30";"0,0"
"26/02/2025";"1900";"24,2";"24,9";"24,1";"89,0";"89,0";"83,0";"22,2";"22,3";"21,5";"995,6";"995,7";"995,4";"2,5";"8,0";"8,8";"231,80";"0,8"
"26/02/2025";"2000";"24,6";"24,6";"24,0";"89,0";"90,0";"88,0";"22,7";"22,8";"21,9";"994,5";"995,6";"994,5";"2,0";"356,0";"4,0";"199,40";"1,4"
"26/02/2025";"2100";"24,5";"24,9";"24,5";"88,0";"89,0";"87,0";"22,3";"22,8";"22,3";"993,6";"994,4";"993,5";"0,6";"308,0";"3,2";"182,20";"0,0"
"26/02/2025";"2200";"24,1";"24,5";"24,1";"91,0";"91,0";"87,0";"22,5";"22,7";"22,1";"994,1";"994,1";"993,6";"0,0";"154,0";"1,6";"32,60";"0,2"
"26/02/2025";"2300";"24,1";"24,2";"24,0";"92,0";"92,0";"91,0";"22,7";"22,8";"22,5";"994,8";"994,8";"994,0";"0,8";"142,0";"1,9";"";"0,0"
"27/02/2025";"0000";"23,8";"24,1";"23,8";"92,0";"92,0";"92,0";"22,5";"22,7";"22,5";"995,7";"995,7";"994,8";"0,6";"107,0";"1,9";"";"0,0"
"27/02/2025";"0100";"23,5";"23,8";"23,5";"91,0";"92,0";"91,0";"22,0";"22,5";"21,9";"996,6";"996,6";"995,7";"1,9";"103,0";"3,2";"";"0,0"
"27/02/2025";"0200";"23,4";"23,7";"23,4";"91,0";"91,0";"90,0";"21,8";"22,0";"21,8";"996,6";"996,9";"996,6";"1,4";"133,0";"3,4";"";"0,0"
"27/02/2025";"0300";"23,1";"23,5";"23,1";"92,0";"92,0";"91,0";"21,6";"21,9";"21,6";"996,1";"996,6";"996,1";"0,0";"207,0";"3,4";"";"0,0"
"27/02/2025";"0400";"23,0";"23,1";"22,9";"92,0";"92,0";"92,0";"21,6";"21,7";"21,6";"995,3";"996,1";"995,3";"0,2";"201,0";"1,2";"";"0,0"
"27/02/2025";"0500";"22,8";"23,0";"22,6";"93,0";"93,0";"92,0";"21,5";"21,5";"21,3";"994,5";"995,3";"994,5";"0,0";"111,0";"1,2";"";"0,0"
"27/02/2025";"0600";"23,0";"23,0";"22,7";"91,0";"93,0";"91,0";"21,4";"21,5";"21,4";"993,7";"994,5";"993,7";"1,1";"114,0";"2,6";"";"0,0"
"27/02/2025";"0700";"23,0";"23,1";"22,9";"91,0";"91,0";"90,0";"21,5";"21,5";"21,3";"993,9";"993,9";"993,5";"0,1";"198,0";"2,6";"";"0,0"
"27/02/2025";"0800";"22,7";"23,0";"22,7";"92,0";"92,0";"91,0";"21,3";"21,6";"21,3";"993,9";"993,9";"993,7";"0,0";"196,0";"1,2";"";"0,0"
"27/02/2025";"0900";"22,6";"22,7";"22,6";"93,0";"93,0";"92,0";"21,4";"21,5";"21,3";"994,2";"994,2";"993,9";"0,0";"161,0";"0,0";"";"0,0"
"27/02/2025";"1000";"23,0";"23,0";"22,6";"93,0";"93,0";"93,0";"21,7";"21,8";"21,4";"994,9";"994,9";"994,2";"0,0";"72,0";"0,0";"19,60";"0,0"
"27/02/2025";"1100";"24,9";"24,9";"23,0";"85,0";"93,0";"85,0";"22,2";"22,4";"21,8";"995,8";"995,8";"994,9";"1,0";"141,0";"3,4";"202,00";"0,0"
"27/02/2025";"1200";"27,8";"27,9";"24,8";"78,0";"85,0";"77,0";"23,7";"23,9";"21,9";"996,6";"996,6";"995,8";"0,7";"100,0";"2,8";"885,70";"0,0"
"27/02/2025";"1300";"29,3";"29,7";"27,4";"66,0";"78,0";"66,0";"22,4";"24,1";"22,2";"997,1";"997,1";"996,6";"0,6";"97,0";"2,6";"1952,40";"0,0"
"27/02/2025";"1400";"26,7";"29,2";"26,7";"84,0";"84,0";"66,0";"23,8";"23,8";"22,1";"997,2";"997,2";"997,1";"0,5";"273,0";"3,3";"785,50";"1,0"
"27/02/2025";"1500";"29,8";"29,9";"26,5";"71,0";"87,0";"69,0";"24,0";"25,2";"23,0";"996,8";"997,2";"996,8";"0,6";"349,0";"2,4";"1424,00";"0,0"
"27/02/2025";"1600";"30,5";"31,6";"29,1";"62,0";"74,0";"59,0";"22,4";"25,6";"21,9";"995,6";"996,8";"995,6";"0,0";"37,0";"4,0";"1619,60";"0,0"
"27/02/2025";"1700";"30,1";"32,9";"30,1";"64,0";"68,0";"51,0";"22,6";"24,0";"21,3";"994,5";"995,6";"994,5";"0,1";"79,0";"5,2";"1974,10";"0,2"
"27/02/2025";"1800";"31,0";"31,6";"28,5";"62,0";"70,0";"58,0";"22,9";"23,8";"20,9";"994,0";"994,5";"994,0";"0,0";"67,0";"5,2";"1650,40";"0,0"
"27/02/2025";"1900";"27,2";"31,3";"26,5";"71,0";"75,0";"53,0";"21,5";"22,2";"19,9";"993,2";"994,2";"993,2";"0,0";"326,0";"8,9";"1100,10";"0,0"
"27/02/2025";"2000";"27,3";"27,6";"27,2";"69,0";"72,0";"67,0";"21,0";"22,0";"20,7";"992,5";"993,2";"992,2";"0,0";"1,0";"1,4";"529,30";"0,0"
"27/02/2025";"2100";"27,2";"27,3";"27,1";"72,0";"73,0";"67,0";"21,6";"22,0";"20,8";"991,8";"992,5";"991,8";"0,0";"207,0";"0,0";"283,40";"0,0"
"27/02/2025";"2200";"26,6";"27,2";"26,5";"76,0";"78,0";"71,0";"21,9";"22,4";"21,4";"992,2";"992,3";"991,7";"0,0";"298,0";"0,0";"130,10";"0,0"
"27/02/2025";"2300";"25,4";"26,6";"25,4";"83,0";"83,0";"75,0";"22,3";"22,4";"21,7";"993,1";"993,1";"992,2";"0,0";"312,0";"1,9";"";"0,0"
