"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/01/2025";"0000";"26,1";"27,3";"25,6";"79,0";"84,0";"70,0";"22,1";"22,8";"21,3";"991,1";"991,1";"990,0";"0,0";"320,0";"2,2";"";"0,0"
"05/01/2025";"0100";"26,9";"26,9";"26,1";"74,0";"79,0";"71,0";"21,8";"22,2";"20,9";"992,0";"992,0";"991,1";"0,7";"2,0";"5,2";"";"0,0"
"05/01/2025";"0200";"26,0";"26,9";"25,9";"82,0";"82,0";"74,0";"22,7";"22,7";"21,8";"992,6";"992,6";"992,0";"0,0";"287,0";"4,1";"";"0,0"
"05/01/2025";"0300";"25,7";"26,1";"25,7";"83,0";"83,0";"81,0";"22,6";"22,7";"22,5";"992,4";"992,7";"992,4";"0,0";"318,0";"0,0";"";"0,0"
"05/01/2025";"0400";"25,9";"26,0";"25,6";"83,0";"84,0";"83,0";"22,8";"23,0";"22,6";"991,9";"992,4";"991,9";"0,4";"354,0";"2,4";"";"0,0"
"05/01/2025";"0500";"25,5";"26,0";"25,5";"84,0";"84,0";"83,0";"22,6";"22,9";"22,6";"991,7";"992,0";"991,7";"1,1";"338,0";"2,9";"";"0,0"
"05/01/2025";"0600";"25,0";"25,5";"25,0";"86,0";"86,0";"84,0";"22,4";"22,7";"22,4";"991,4";"991,7";"991,4";"0,4";"5,0";"2,9";"";"0,0"
"05/01/2025";"0700";"24,6";"25,1";"24,5";"88,0";"88,0";"85,0";"22,5";"22,5";"22,2";"991,2";"991,5";"991,2";"0,0";"221,0";"1,7";"";"0,0"
"05/01/2025";"0800";"24,1";"24,6";"24,1";"91,0";"91,0";"88,0";"22,5";"22,6";"22,3";"991,7";"991,7";"991,2";"0,0";"285,0";"0,0";"";"0,0"
"05/01/2025";"0900";"23,8";"24,1";"23,6";"92,0";"92,0";"91,0";"22,4";"22,5";"22,2";"992,0";"992,1";"991,7";"0,0";"157,0";"0,0";"";"0,0"
"05/01/2025";"1000";"25,3";"25,3";"23,6";"92,0";"93,0";"92,0";"23,9";"23,9";"22,2";"992,6";"992,6";"992,0";"0,0";"235,0";"1,1";"132,10";"0,0"
"05/01/2025";"1100";"27,2";"28,1";"25,3";"78,0";"92,0";"74,0";"22,9";"24,1";"22,4";"993,1";"993,1";"992,6";"0,3";"322,0";"1,8";"813,70";"0,0"
"05/01/2025";"1200";"29,5";"29,6";"27,1";"69,0";"79,0";"69,0";"23,3";"23,7";"22,7";"993,4";"993,4";"993,0";"0,7";"130,0";"2,5";"1554,60";"0,0"
"05/01/2025";"1300";"30,1";"30,5";"29,1";"66,0";"72,0";"64,0";"23,1";"24,0";"22,5";"993,8";"993,8";"993,4";"1,2";"356,0";"3,4";"2640,40";"0,0"
"05/01/2025";"1400";"31,7";"32,2";"30,1";"55,0";"68,0";"54,0";"21,6";"24,2";"21,3";"993,9";"994,0";"993,8";"1,1";"44,0";"3,5";"3087,30";"0,0"
"05/01/2025";"1500";"33,7";"33,7";"31,6";"56,0";"58,0";"49,0";"23,8";"23,8";"20,7";"993,3";"993,9";"993,3";"0,7";"252,0";"3,3";"3280,00";"0,0"
"05/01/2025";"1600";"33,5";"34,2";"32,9";"47,0";"56,0";"40,0";"20,6";"23,0";"18,1";"992,4";"993,3";"992,4";"2,1";"108,0";"4,2";"3581,10";"0,0"
"05/01/2025";"1700";"34,8";"35,3";"33,5";"38,0";"47,0";"36,0";"18,4";"21,4";"18,0";"991,4";"992,4";"991,4";"2,0";"182,0";"4,4";"3653,60";"0,0"
"05/01/2025";"1800";"35,3";"35,9";"34,7";"36,0";"41,0";"29,0";"17,7";"19,5";"15,1";"990,4";"991,4";"990,4";"0,3";"190,0";"4,4";"3438,20";"0,0"
