"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/06/2025";"0000";"24,0";"24,8";"24,0";"84,0";"84,0";"80,0";"21,1";"21,4";"20,9";"995,5";"995,6";"995,1";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0100";"23,5";"24,0";"23,5";"85,0";"85,0";"84,0";"20,9";"21,2";"20,9";"995,9";"995,9";"995,5";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0200";"23,7";"23,7";"23,4";"84,0";"86,0";"84,0";"20,9";"21,1";"20,9";"995,8";"996,0";"995,7";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0300";"23,1";"23,7";"23,0";"87,0";"88,0";"84,0";"20,8";"21,1";"20,8";"995,8";"995,9";"995,7";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0400";"22,9";"23,0";"22,9";"87,0";"87,0";"87,0";"20,7";"20,8";"20,6";"995,7";"995,8";"995,4";"0,0";"236,0";"0,8";"";"0,0"
"08/06/2025";"0500";"22,7";"22,9";"22,7";"89,0";"89,0";"87,0";"20,8";"20,8";"20,6";"995,4";"995,7";"995,2";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0600";"22,7";"22,8";"22,6";"89,0";"90,0";"89,0";"20,8";"21,0";"20,7";"995,2";"995,4";"994,9";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0700";"22,4";"22,9";"22,4";"91,0";"91,0";"89,0";"20,9";"21,2";"20,8";"994,7";"995,2";"994,7";"0,0";"236,0";"1,3";"";"0,0"
"08/06/2025";"0800";"22,1";"22,4";"22,1";"91,0";"91,0";"91,0";"20,7";"20,9";"20,6";"994,9";"994,9";"994,6";"0,0";"236,0";"0,0";"";"0,0"
"08/06/2025";"0900";"22,2";"22,2";"22,0";"92,0";"92,0";"91,0";"20,8";"20,8";"20,6";"996,0";"996,0";"994,9";"0,0";"236,0";"0,0";"";"0,2"
"08/06/2025";"1000";"21,9";"22,3";"21,9";"92,0";"92,0";"91,0";"20,6";"20,9";"20,6";"996,4";"996,6";"995,4";"0,0";"236,0";"2,9";"";"2,0"
"08/06/2025";"1100";"21,7";"21,9";"21,7";"93,0";"93,0";"92,0";"20,5";"20,6";"20,5";"997,8";"997,8";"996,4";"0,0";"236,0";"2,9";"3,80";"0,6"
