REGIAO:;CO
UF:;MS
ESTACAO:;AQUIDAUANA
CODIGO (WMO):;A719
LATITUDE:;-20,47555554
LONGITUDE:;-55,78388888
ALTITUDE:;151,35
DATA DE FUNDACAO:;01/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;989,1;989,1;988,8;;27,4;21,2;30,5;27,4;22,1;19,3;72;52;69;35;0;0;
2025/01/01;0100 UTC;0;989,7;989,7;989,1;;26,4;21,4;27,6;26,4;22,1;20,9;75;68;74;78;0;0;
2025/01/01;0200 UTC;0;990;990;989,6;;25,2;22,1;26,5;25,2;22,2;20,9;83;72;83;149;0;0;
2025/01/01;0300 UTC;0;990;990,2;990;;24,8;21,8;25,3;24,7;22,1;21,7;84;82;83;123;0;0;
2025/01/01;0400 UTC;0;989,8;990;989,8;;23,9;21,4;24,8;23,9;21,8;21,4;86;83;86;132;0;0;
2025/01/01;0500 UTC;0;989,7;989,9;989,7;;23,6;20,4;24;23,4;21,5;20,4;87;82;82;128;0;0;
2025/01/01;0600 UTC;0;989,6;989,8;989,6;;23,1;20,9;23,6;22,7;21,1;20,3;89;82;88;145;0;0;
2025/01/01;0700 UTC;0;989,7;989,8;989,6;;22,6;20,7;23,5;22,5;20,9;20,2;89;84;89;151;0;0;
2025/01/01;0800 UTC;0;990;990;989,7;;22,2;20,4;22,6;22,2;20,8;20,4;90;89;90;162;0;0;
2025/01/01;0900 UTC;0;990,9;990,9;990;;21,9;20;22,2;21,7;20,5;20;91;89;89;138;0;0;
2025/01/01;1000 UTC;0;991,6;991,6;990,9;146,3;24,1;20,9;24,1;21,9;21,1;20,1;90;82;82;153;0;0;
2025/01/01;1100 UTC;0;992,5;992,5;991,6;801;27,2;22,3;27,2;24,1;22,3;20,8;83;74;75;152;0;0;
2025/01/01;1200 UTC;0;992,8;992,8;992,4;1675,1;31,1;24;31,1;27,2;24;22;76;64;66;336;5,2;,4;
2025/01/01;1300 UTC;0;993,3;993,4;992,8;2439,1;32,1;23,8;32,3;31;24,6;22,9;67;60;62;328;5,4;1;
2025/01/01;1400 UTC;0;993,1;993,4;993,1;2943,4;33,3;23,6;33,6;32,1;24,7;23,2;64;57;57;314;6,6;,6;
2025/01/01;1500 UTC;0;992,2;993,1;992,2;3056,2;34;23,6;34,1;32,1;24,5;22,1;62;51;55;320;7,8;1,8;
2025/01/01;1600 UTC;0;991,7;992,2;991,7;3374,6;34,5;22,5;34,9;33,2;24,3;21,9;58;48;50;308;7,8;2,4;
2025/01/01;1700 UTC;0;991,3;991,7;991,2;3748,1;34,2;20,6;35,2;34,2;23,5;19,6;53;40;45;343;10,1;4,6;
2025/01/01;1800 UTC;0;990,4;991,3;990,4;3235,3;33,7;22;35,1;33,4;22,3;18,5;51;40;50;330;10,1;2,6;
2025/01/01;1900 UTC;0;989,5;990,4;989,5;3015,6;34,7;19,1;35,2;33,3;22,4;17,7;52;36;40;349;7,7;,7;
2025/01/01;2000 UTC;0;988,5;989,5;988,5;1173,9;33,1;21,2;35,6;33,1;21,8;19,1;51;40;50;14;4;1,2;
2025/01/01;2100 UTC;0;987,3;988,5;987,3;1143,5;33,8;21;34,3;33,1;21,9;20,2;51;44;47;34;4,1;,6;
2025/01/01;2200 UTC;0;987,6;987,6;987,3;146,4;32,1;21,8;33,7;32,1;22,2;20,7;55;47;54;10;3,3;0;
2025/01/01;2300 UTC;0;988,5;988,5;987,7;17,6;30,3;22,7;32,4;30;23;21,6;66;53;64;119;0;0;
2025/01/02;0000 UTC;0;989,7;989,7;988,5;;30,1;22,6;30,5;29,6;23,1;22,6;67;63;64;98;4,4;,6;
2025/01/02;0100 UTC;0;990,6;990,6;989,8;;28,5;22,9;30,1;28,5;23;22,6;72;65;72;90;4,3;0;
2025/01/02;0200 UTC;0;991,3;991,4;990,6;;27,5;23,3;28,5;27,4;23,4;22,8;78;72;78;47;0;0;
2025/01/02;0300 UTC;0;991,3;991,5;991,3;;28;22,8;28;27,3;23,3;22,6;78;73;73;104;1,6;0;
