"data_local";"temperatura_C";"temperatura_max_C";"temperatura_min_C";"amplitude_termica_C"
2023-12-31;24,95;27,1;23,9;3,2
2024-01-01;26,8041666666667;34,1;23,9;10,2
2024-01-02;27,5958333333333;33,5;23,8;9,7
2024-01-03;26,05;34,4;23,2;11,2
2024-01-04;28,55;35,8;22,9;12,9
2024-01-05;29,9291666666667;37,1;23,8;13,3
2024-01-06;30,45;37,7;24,4;13,3
2024-01-07;31,1916666666667;37,5;25,5;12
2024-01-08;31,2166666666667;37,5;25,1;12,4
2024-01-09;30,9583333333333;37,6;25,1;12,5
2024-01-10;31,6833333333333;36,6;25,9;10,7
2024-01-11;28,9833333333333;34,8;24,7;10,1
2024-01-12;28,1916666666667;33,4;24,8;8,6
2024-01-13;28,75;34,9;25,7;9,2
2024-01-14;29,0791666666667;35,2;23,2;12
2024-01-15;29,4208333333333;35,3;26,5;8,8
2024-01-16;29,8208333333333;35,4;25,6;9,8
2024-01-17;29,3416666666667;35,3;26;9,3
2024-01-18;30,75;37,2;24,6;12,6
2024-01-19;31,2583333333333;38,3;25;13,3
2024-01-20;30,1583333333333;37,5;24,7;12,8
2024-01-21;27,4833333333333;32,4;24,3;8,1
2024-01-22;25,5166666666667;29;23,8;5,2
2024-01-23;26,2458333333333;31,8;23,5;8,3
2024-01-24;27,4333333333333;34,1;22;12,1
2024-01-25;27,5333333333333;34,9;21,1;13,8
2024-01-26;27,3;35;20,6;14,4
2024-01-27;27,4458333333333;34,9;21,4;13,5
2024-01-28;27,6291666666667;36,2;18,9;17,3
2024-01-29;28,9083333333333;37,4;19,3;18,1
2024-01-30;29,2875;37,8;23,7;14,1
2024-01-31;27,9875;35,7;22,2;13,5
2024-02-01;29,4791666666667;38,7;22,2;16,5
2024-02-02;30,1125;38,5;22,5;16
2024-02-03;29,2208333333333;36,1;23,8;12,3
2024-02-04;28,9458333333333;36,3;23,3;13
2024-02-05;29,05;36,5;24,5;12
2024-02-06;26,8166666666667;35;23,1;11,9
2024-02-07;28,1791666666667;36,7;23,4;13,3
2024-02-08;24,375;27,9;21,4;6,5
2024-02-09;26,45;31;23,5;7,5
2024-02-10;27,0208333333333;32,8;24,2;8,6
2024-02-11;27,75;35,1;23,6;11,5
2024-02-12;26,2625;31,5;23;8,5
2024-02-13;28,6333333333333;35;23,9;11,1
2024-02-14;28,8958333333333;35;24,8;10,2
2024-02-15;28,6625;35,2;23,7;11,5
2024-02-16;29,0833333333333;36,3;24;12,3
2024-02-17;27,875;35,7;23;12,7
2024-02-18;25,4458333333333;29,6;23,5;6,1
