"data";"hora_UTC";"temperatura_C";"temperatura_max_C";"temperatura_min_C";"data_hora_UTC";"data_hora_local";"data_local"
"2024/01/01";"0000 UTC";27;27,1;26,7;2024-01-01;"2023-12-31 20:00:00";2023-12-31
"2024/01/01";"0100 UTC";24,5;27;24,5;2024-01-01 01:00:00;"2023-12-31 21:00:00";2023-12-31
"2024/01/01";"0200 UTC";24,1;24,7;24,1;2024-01-01 02:00:00;"2023-12-31 22:00:00";2023-12-31
"2024/01/01";"0300 UTC";24,2;24,3;23,9;2024-01-01 03:00:00;"2023-12-31 23:00:00";2023-12-31
"2024/01/01";"0400 UTC";24,8;24,9;24,2;2024-01-01 04:00:00;"2024-01-01 00:00:00";2024-01-01
"2024/01/01";"0500 UTC";24,6;24,9;24,5;2024-01-01 05:00:00;"2024-01-01 01:00:00";2024-01-01
"2024/01/01";"0600 UTC";24,3;24,6;24,3;2024-01-01 06:00:00;"2024-01-01 02:00:00";2024-01-01
"2024/01/01";"0700 UTC";24,3;24,4;24,3;2024-01-01 07:00:00;"2024-01-01 03:00:00";2024-01-01
"2024/01/01";"0800 UTC";24;24,3;24;2024-01-01 08:00:00;"2024-01-01 04:00:00";2024-01-01
"2024/01/01";"0900 UTC";24;24,1;23,9;2024-01-01 09:00:00;"2024-01-01 05:00:00";2024-01-01
"2024/01/01";"1000 UTC";24,8;24,8;24;2024-01-01 10:00:00;"2024-01-01 06:00:00";2024-01-01
"2024/01/01";"1100 UTC";26,2;26,2;24,8;2024-01-01 11:00:00;"2024-01-01 07:00:00";2024-01-01
"2024/01/01";"1200 UTC";27;27,2;25,9;2024-01-01 12:00:00;"2024-01-01 08:00:00";2024-01-01
"2024/01/01";"1300 UTC";28;28,5;27;2024-01-01 13:00:00;"2024-01-01 09:00:00";2024-01-01
"2024/01/01";"1400 UTC";29,7;29,7;27,9;2024-01-01 14:00:00;"2024-01-01 10:00:00";2024-01-01
"2024/01/01";"1500 UTC";31;31,9;29,7;2024-01-01 15:00:00;"2024-01-01 11:00:00";2024-01-01
"2024/01/01";"1600 UTC";32,7;33,3;31;2024-01-01 16:00:00;"2024-01-01 12:00:00";2024-01-01
"2024/01/01";"1700 UTC";33,7;34,1;32,6;2024-01-01 17:00:00;"2024-01-01 13:00:00";2024-01-01
"2024/01/01";"1800 UTC";31,8;33,7;31,1;2024-01-01 18:00:00;"2024-01-01 14:00:00";2024-01-01
"2024/01/01";"1900 UTC";30,1;31,9;29,9;2024-01-01 19:00:00;"2024-01-01 15:00:00";2024-01-01
"2024/01/01";"2000 UTC";28,4;30,5;28,4;2024-01-01 20:00:00;"2024-01-01 16:00:00";2024-01-01
"2024/01/01";"2100 UTC";24,9;28,4;24,9;2024-01-01 21:00:00;"2024-01-01 17:00:00";2024-01-01
"2024/01/01";"2200 UTC";24,5;25;24,4;2024-01-01 22:00:00;"2024-01-01 18:00:00";2024-01-01
